drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,3,0,200,33,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,4,0,500,500,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,0,96,7,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Londonderry Ward,45,2,0,104,13,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,3,2,123,38,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,15,1,0,135,17,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,2,168,20,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,45,2,0,143,20,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,2,4,200,20,Yes,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,2,17,17,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,15,2,0,110,50,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,3,0,192,11,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,1,0,1,1,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,4,0,150,17,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,3,1,170,9,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,0,478,30,Yes,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,2,30,40,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,1,1,24,30,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,4,1,80,31,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,15,2,3,35,6,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,150,2,0,142,20,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,1,205,34,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,0,235,21,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,1,4,166,32,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,2,0,200,20,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,2,0,225,30,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,2,2,0,24,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,1,2,100,50,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,0,30,20,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,3,2,204,26,Yes,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,0,239,24,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,15,2,0,95,15,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
